STOK KODU	STOK İSMİ	CİNSİ	MUHASEBE KODU	MUHASEBE HESAP İSMİ	STOK İADE MUHASEBE KODU	STOK İADE MUHASEBE HESAP İSMİ	YURT İÇİ SATIŞ MUHASEBE KODU	YURT İÇİ SATIŞ MUHASEBE HESAP İSMİ	YURT DIŞI SATIŞ MUHASEBE KODU	YURT DIŞI SATIŞ MUHASEBE HESAP İSMİ	SATIŞ İADE MUHASEBE KODU	SATIŞ İADE MUHASEBE HESAP İSMİ
770.11	3x120+70mm2 NYFGBY KABLO	İşletme malzemesi	770.01.01.04.099	Diğer Çeşitli Giderler	602.01.01.02.005	Gider İadeleri vs Alış Fiyat Farkları						
770.12	4x16mm2 NYFGBY KABLO	İşletme malzemesi	770.01.01.04.099	Diğer Çeşitli Giderler	602.01.01.02.005	Gider İadeleri vs Alış Fiyat Farkları						
770.13	SONSUZ REDEKTÖR	İşletme malzemesi	153.01.04.20.090	Diğer Ticari Mal Ev Gereçleri	153.01.04.20.090	Diğer Ticari Mal Ev Gereçleri	600.01.04.20.090	Diğer Ticari Mal	601	YURT DIŞI SATIŞLAR	610.01.04.20.090	Diğer Ticari Mallar
770.14	KABLO TRANŞESİ	İşletme malzemesi	770.01.01.04.099	Diğer Çeşitli Giderler	602.01.01.02.005	Gider İadeleri vs Alış Fiyat Farkları						
759.02	NEST TRENDY EVİYE BATARYASI	Ticari mal	153.01.04.20.090	Diğer Ticari Mal Ev Gereçleri	153.01.04.20.090	Diğer Ticari Mal Ev Gereçleri	600	YURT İÇİ SATIŞLAR	601.01.04.30.090	TANIMSIZ	610	SATIŞTAN İADELER (-)
759.03	YEMEK ODASI TAKIMI	Ticari mal	153.01.04.20.090	Diğer Ticari Mal Ev Gereçleri	153.01.04.20.090	Diğer Ticari Mal Ev Gereçleri	600	YURT İÇİ SATIŞLAR	601.01.04.30.090	TANIMSIZ	610	SATIŞTAN İADELER (-)
759.04	POESELEN TK.87 PARÇA	Ticari mal	153.01.04.20.090	Diğer Ticari Mal Ev Gereçleri	153.01.04.20.090	Diğer Ticari Mal Ev Gereçleri	600	YURT İÇİ SATIŞLAR	601.01.04.30.090	TANIMSIZ	610	SATIŞTAN İADELER (-)
759.05	DEMONTE AYNA (MİRROR)	Ticari mal	153.01.04.20.090	Diğer Ticari Mal Ev Gereçleri	153.01.04.20.090	Diğer Ticari Mal Ev Gereçleri	600	YURT İÇİ SATIŞLAR	601.01.04.30.090	TANIMSIZ	610	SATIŞTAN İADELER (-)
759.06	TELEVİZYON ÜNİTESİ	Ticari mal	153.01.04.20.090	Diğer Ticari Mal Ev Gereçleri	153.01.04.20.090	Diğer Ticari Mal Ev Gereçleri	600	YURT İÇİ SATIŞLAR	601.01.04.30.090	TANIMSIZ	610	SATIŞTAN İADELER (-)
770.01	HP Q2612A LASER TONER (12A) İADE	İşletme malzemesi	770.01.01.04.008	Kırtasiye ve Matbaa Giderleri Hs.	602.01.01.02.005	Gider İadeleri vs Alış Fiyat Farkları						
770.02	VEMA AA VANA 1/4-32 İADE	İşletme malzemesi	730.01.01.04.005	Fab.Tes.Makine.D.Baş Tamir,Bak.Onar.Gid.Hs.	602.01.01.01.008	Taban, Marka, Yazı, Kalıp Gelirleri						
770.026	26 CM DÖKÜM TAVA KALIP	Ticari mal	730.01.01.04.014	Personel Koruyucu Ekipmanları Hs	602.01.01.02.005	Gider İadeleri vs Alış Fiyat Farkları	600.01.04.20.032	Satır				
770.03	CNC TORNA	Ticari mal	730.01.01.04.014	Personel Koruyucu Ekipmanları Hs	602.01.01.02.005	Gider İadeleri vs Alış Fiyat Farkları						
770.030	24 CM DÖKÜM TENCERE KALIP	Ticari mal	730.01.01.04.014	Personel Koruyucu Ekipmanları Hs	602.01.01.02.005	Gider İadeleri vs Alış Fiyat Farkları	602.01.01.02.005	Gider İadeleri vs Alış Fiyat Farkları				
740.51.718	İŞ AYAKKABISI	Ticari mal	730.01.01.04.013	Kırtasiye Ve Matbaa Giderleri	730.01.01.04.013	Kırtasiye Ve Matbaa Giderleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.51.719	TEMİZLİK MALZEMELERİ GRUBU	Ticari mal	730.01.01.03.005	Sağlık Giderleri Hs.	730.01.01.03.005	Sağlık Giderleri Hs.	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.52.252	SUNTA 140X210 CM	Ticari mal	730.01.01.04.007	Fabrika Küçük Demirbaş Giderleri Hs.	730.01.01.04.007	Fabrika Küçük Demirbaş Giderleri Hs.	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.52.253	TEKERLEKLİ SEPET BÜYÜK (DEMİR)	Ticari mal	730.01.01.04.007	Fabrika Küçük Demirbaş Giderleri Hs.	730.01.01.04.007	Fabrika Küçük Demirbaş Giderleri Hs.	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.52.254	TEKERLEKLİ SEPET KÜÇÜK (DEMİR)	Ticari mal	730.01.01.04.007	Fabrika Küçük Demirbaş Giderleri Hs.	730.01.01.04.007	Fabrika Küçük Demirbaş Giderleri Hs.	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.52.255	TEKERLEKLİ SEPET KÜÇÜK (PLASTİK)	Ticari mal	730.01.01.04.007	Fabrika Küçük Demirbaş Giderleri Hs.	730.01.01.04.007	Fabrika Küçük Demirbaş Giderleri Hs.	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.52.256	SARF KULLANILMIŞ MALZEMLER	Ticari mal	157.01.01.02.023	Boya Tabancası Yedek Parçaları	157.01.01.02.023	Boya Tabancası Yedek Parçaları	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.52.257	RAMAZAN ERZAK YARDIM KOLİSİ	Ticari mal	730.01.01.04.007	Fabrika Küçük Demirbaş Giderleri Hs.	730.01.01.04.007	Fabrika Küçük Demirbaş Giderleri Hs.	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.52.258	SAC FUAR KASASI	Ticari mal	730.01.01.04.007	Fabrika Küçük Demirbaş Giderleri Hs.	730.01.01.04.007	Fabrika Küçük Demirbaş Giderleri Hs.						
759.01	KULTUK TAKIMI	Ticari mal	153.01.04.20.090	Diğer Ticari Mal Ev Gereçleri	153.01.04.20.090	Diğer Ticari Mal Ev Gereçleri	600	YURT İÇİ SATIŞLAR	601.01.04.30.090	TANIMSIZ	610	SATIŞTAN İADELER (-)
740.51.708.009	MEGA KULP	Ticari mal	150.01.01.03.008	Kulp	150.01.01.03.008	Kulp	600.01.04.30.006	Kulp	601	YURT DIŞI SATIŞLAR	610.01.04.30.006	Kulp
740.51.708.010	BAKALİT DEMİR SAP	Ticari mal	730.01.01.04.009	Bina Bakım Onarım Giderleri	730.01.01.04.009	Bina Bakım Onarım Giderleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.51.708.011	KAPSÜL	Ticari mal	730.01.01.04.009	Bina Bakım Onarım Giderleri	730.01.01.04.009	Bina Bakım Onarım Giderleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.51.708.012	DÜDÜKLÜ KULLANMA KILAVUZU	Ticari mal	150.01.01.04.011	Nitril Eldiven	150.01.01.04.011	Nitril Eldiven	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610.01.04.20.090	Diğer Ticari Mallar
740.51.709	TEKSTİL  VE KİŞİSEL KORUYUCU DONANIM GİDERLERİ GRU	Ticari mal	730.01.01.04.013	Kırtasiye Ve Matbaa Giderleri	730.01.01.04.013	Kırtasiye Ve Matbaa Giderleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.51.710	KALIP GİDERLERİ	Ticari mal	150.01.01.03.042	Kalıp Malzemesi	150.01.01.03.042	Kalıp Malzemesi	602.01.01.02.005	Gider İadeleri vs Alış Fiyat Farkları	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.51.711	OFİS GEREÇLERİ GRUBU	Ticari mal	730.01.01.04.013	Kırtasiye Ve Matbaa Giderleri	730.01.01.04.013	Kırtasiye Ve Matbaa Giderleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.51.716	DERİ ÖNLÜK	Ticari mal	730.01.01.04.013	Kırtasiye Ve Matbaa Giderleri	730.01.01.04.013	Kırtasiye Ve Matbaa Giderleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.51.717	DERİ KOLLUK	Ticari mal	730.01.01.04.013	Kırtasiye Ve Matbaa Giderleri	730.01.01.04.013	Kırtasiye Ve Matbaa Giderleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
