STOK KODU	STOK İSMİ	CİNSİ	MUHASEBE KODU	MUHASEBE HESAP İSMİ	STOK İADE MUHASEBE KODU	STOK İADE MUHASEBE HESAP İSMİ	YURT İÇİ SATIŞ MUHASEBE KODU	YURT İÇİ SATIŞ MUHASEBE HESAP İSMİ	YURT DIŞI SATIŞ MUHASEBE KODU	YURT DIŞI SATIŞ MUHASEBE HESAP İSMİ	SATIŞ İADE MUHASEBE KODU	SATIŞ İADE MUHASEBE HESAP İSMİ
152.3120.01.02-24-GRİ	GRANİT Ø 24 x 13 CM DRN TENC (KEND.KULP CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3120.01.02-24-KRM	GRANİT Ø 24 x 13 CM DRN TENC (KEND.KULP CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3120.01.02-24-PMB	GRANİT Ø 24 x 13 CM DRN TENC (KEND.KULP CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3120.01.02-24-SKAH	GRANİT Ø 24 x 13 CM DRN TENC (KEND.KULP CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3120.01.02-24-SYH	GRANİT Ø 24 x 13 CM DRN TENC (KEND.KULP CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3120.01.02-20-SKAH	GRANİT Ø 20 x 11 CM DRN TENC (KEND.KULP CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3120.01.02-20-SYH	GRANİT Ø 20 x 11 CM DRN TENC (KEND.KULP CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3120.01.02-22-GRİ	GRANİT Ø 22 x 12 CM DRN TENC (KEND.KULP CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3120.01.02-22-KRM	GRANİT Ø 22 x 12 CM DRN TENC (KEND.KULP CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3120.01.02-22-PMB	GRANİT Ø 22 x 12 CM DRN TENC (KEND.KULP CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3120.01.02-22-SKAH	GRANİT Ø 22 x 12 CM DRN TENC (KEND.KULP CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3120.01.02-18-KRM	GRANİT Ø 18 x 10,5 CM DRN TENC (KEND.KULP CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3120.01.02-18-PMB	GRANİT Ø 18 x 10,5 CM DRN TENC (KEND.KULP CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3120.01.02-18-SKAH	GRANİT Ø 18 x 10,5 CM DRN TENC (KEND.KULP CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3120.01.02-20-GRİ	GRANİT Ø 20 x 11 CM DRN TENC (KEND.KULP CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3120.01.02-20-KRM	GRANİT Ø 20 x 11 CM DRN TENC (KEND.KULP CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3120.01.02-20-PMB	GRANİT Ø 20 x 11 CM DRN TENC (KEND.KULP CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3119.28.BLACK.WHITE	28 CM DODECA ÇİZGİLİ DÖKÜM TENCERE SİYAH BEYAZ	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3119.28.BURGUNDY.BLUE	28 CM DODECA ÇİZGİLİ DÖKÜM TENCERE BORDO MAVİ	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3120.00.11-18-KRM	GRANİT Ø 18 x 10,5 CM DRN TENC (KEND.KULP KAPKSIZ)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3120.00.11-22-KRM	GRANİT Ø 22 x 12 CM DRN TENC (KEND.KULP KAPAKSIZ)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3120.00.11-26-KRM	GRANİT Ø 26 x 13 CM DRN TENC (KEND.KULP KAPAKSIZ)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3120.01.02-18-GRİ	GRANİT Ø 18 x 10,5 CM DRN TENC (KEND.KULP CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3118.28.SS	SERİ SONU 28 CM COLONNA GRANİT TENCERE	Ticari mal	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3119.20.BLACK.WHITE	20 CM DODECA ÇİZGİLİ DÖKÜM TENCERE SİYAH BEYAZ	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3119.20.BURGUNDY.BLUE	20 CM DODECA ÇİZGİLİ DÖKÜM TENCERE BORDO MAVİ	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3119.24.BLACK.WHITE	24 CM DODECA ÇİZGİLİ DÖKÜM TENCERE SİYAH BEYAZ	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3119.24.BURGUNDY.BLUE	24 CM DODECA ÇİZGİLİ DÖKÜM TENCERE BORDO MAVİ	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3119.24.S.BEIGE	24 CM DODECA  DÖKÜM TENCERE. KUMBEJİ	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3118.28.ANTRACITE	28CM COLONNA GRANİT TENCERE	Ticari mal	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3118.28.BLACK	28CM COLONNA GRANİT TENCERE	Ticari mal	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3118.28.BLACK.GOLD	28CM COLONNA GRANİT TENCERE - GOLD SAPLI	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3118.28.BURGUNDY	28CM COLONNA GRANİT TENCERE	Ticari mal	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3118.28.BURGUNDY.GOLD	28CM COLONNA GRANİT TENCERE - GOLD SAPLI	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3118.28.DEF	DEFOLU 28 CM COLONNA GRANİT TENCERE	Ticari mal	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3118.24.BLACK	24CM COLONNA GRANİT TENCERE	Ticari mal	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3118.24.BLACK.GOLD	24CM COLONNA GRANİT TENCERE - GOLD SAPLI	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3118.24.BURGUNDY	24CM COLONNA GRANİT TENCERE	Ticari mal	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3118.24.BURGUNDY.GOLD	24CM COLONNA GRANİT TENCERE - GOLD SAPLI	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3118.24.DEF	DEFOLU 24CM COLONNA GRANİT TENCERE	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3118.24.SS	SERİ SONU 24CM COLONNA GRANİT TENCERE	Ticari mal	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3118.20.BLACK.GOLD	20CM COLONNA GRANİT TENCERE - GOLD SAPLI	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3118.20.BURGUNDY	20CM COLONNA GRANİT TENCERE	Ticari mal	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3118.20.BURGUNDY.GOLD	20CM COLONNA GRANİT TENCERE - GOLD SAPLI	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3118.20.DEF	DEFOLU 20 CM COLONNA GRANİT TENCERE	Ticari mal	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3118.20.SS	SERİ SONU 20 CM COLONNA GRANİT TENCERE	Ticari mal	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3118.24.ANTRACITE	24CM COLONNA GRANİT TENCERE	Ticari mal	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3117.22.RED	GRANİT Ø 22 CM MERMAID TENCERE (CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3117.24.BLACK	GRANİT Ø 24 CM MERMAID TENCERE (CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3117.24.MENTHOL	GRANİT Ø 24 CM MERMAID TENCERE (CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3117.24.RED	GRANİT Ø 24 CM MERMAID TENCERE (CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3118.20.ANTRACITE	20CM COLONNA GRANİT TENCERE	Ticari mal	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3118.20.BLACK	20CM COLONNA GRANİT TENCERE	Ticari mal	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116G.IND.30.IVORY	OMS - GRANİT CASSEROLE 30 CM INDUKTION. FİLDİŞİ	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3117.20.BLACK	GRANİT Ø 20 CM MERMAID TENCERE (CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3117.20.MENTHOL	GRANİT Ø 20 CM MERMAID TENCERE (CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3117.20.RED	GRANİT Ø 20 CM MERMAID TENCERE (CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3117.22.BLACK	GRANİT Ø 22 CM MERMAID TENCERE (CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3117.22.MENTHOL	GRANİT Ø 22 CM MERMAID TENCERE (CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116G.IND.26.IVORY	OMS - GRANİT CASSEROLE 26 CM INDUKTION.FİLDİŞİ	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116G.IND.28.CREAM	OMS - GRANİT CASSEROLE 28 CM INDUKTION. KREM	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116G.IND.28.GOLD	OMS - GRANİT CASSEROLE 28 CM INDUKTION. GOLD	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116G.IND.28.IVORY	OMS - GRANİT CASSEROLE 28 CM INDUKTION. FİLDİŞİ	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116G.IND.30.CREAM	OMS - GRANİT CASSEROLE 30 CM INDUKTION. KREM	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116G.IND.30.GOLD	OMS - GRANİT CASSEROLE 30 CM INDUKTION. GOLD	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116G.IND.22.IVORY	OMS - GRANİT CASSEROLE 22 CM INDUKTION. FİLDİŞİ	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116G.IND.24.CREAM	OMS - GRANİT CASSEROLE 24 CM INDUKTION. KREM	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116G.IND.24.GOLD	OMS - GRANİT CASSEROLE 24 CM INDUKTION. GOLD	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116G.IND.24.IVORY	OMS - GRANİT CASSEROLE 24 CM INDUKTION. FİLDİŞİ	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116G.IND.26.CREAM	OMS - GRANİT CASSEROLE 26 CM INDUKTION. KREM	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116G.IND.26.GOLD	OMS - GRANİT CASSEROLE 26 CM INDUKTION.GOLD	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116.IND.30.S.BEIGE	GRANİT DERİN TENCERE 30 CM İND. (2,8) Z-TİPİ KPK	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116G.IND.20.CREAM	OMS - GRANİT CASSEROLE 20 CM INDUKTION. KREM	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116G.IND.20.GOLD	OMS - GRANİT CASSEROLE 20 CM INDUKTION. GOLD	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116G.IND.20.IVORY	OMS - GRANİT CASSEROLE 20 CM INDUKTION. FİLDİŞİ	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116G.IND.22.CREAM	OMS - GRANİT CASSEROLE 22 CM INDUKTION. KREM	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116G.IND.22.GOLD	OMS - GRANİT CASSEROLE 22 CM INDUKTION. GOLD	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116.IND.24.S.BEIGE	GRANİT DERİN TENCERE 24 CM İND. (2,8) Z-TİPİ KPK	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116.IND.26.BLACK	GRANİT DERİN TENCERE 26 CM İND. (2,8) Z-TİPİ KPK	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116.IND.26.S.BEIGE	GRANİT DERİN TENCERE 26 CM İND. (2,8) Z-TİPİ KPK	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116.IND.28.BLACK	GRANİT DERİN TENCERE 28 CM İND. (2,8) Z-TİPİ KPK	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116.IND.28.S.BEIGE	GRANİT DERİN TENCERE 28 CM İND. (2,8) Z-TİPİ KPK	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116.IND.30.BLACK	GRANİT DERİN TENCERE 30 CM İND. (2,8) Z-TİPİ KPK	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116.I.30.DEF	DEFOLU GRANİT DERİN TENCERE 30 CM İND. (2,8) Z-TİPİ KPK	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116.IND.20.BLACK	GRANİT DERİN TENCERE 20 CM İND. (2,8) Z-TİPİ KPK	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116.IND.20.S.BEIGE	GRANİT DERİN TENCERE 20 CM İND. (2,8) Z-TİPİ KPK	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
