CİNSİ	STOK İSMİ	STOK KODU
Ticari mal	ONVO 430VF9000FQ TV	770.31
Ticari mal	TEŞHİR MASASI	771.01
Ticari mal	ÜRÜN RAFI	771.02
Ticari mal	BAMBUM BÖLMELİ TAKI KUTUSU 	153.09.10.BMB.TKI
Ticari mal	TAŞEV CİNAMON SÜZGEÇLİ CAM DEMLİK 450 ML	153.09.10.BMB.TT1615
Ticari mal	TAŞEV DAVOS KUM SAATİ 3 DAKİKA	153.09.10.BMB.TT1650
Ticari mal	BAMBUM TUFA 3 PARÇA DESENLİ MUTFAK SETİ	153.09.10.BMB.TUFA
Ticari mal	BAMBUM VALERİA YUVARLAK NİHALE	153.09.10.BMB.VALERİA
Ticari mal	BAMBU FRECHPRESS 350 ML YAKUT 8253	153.09.10.BMB.8253
Ticari mal	BAMBU FRECHPRESS 600 ML YAKUT 8254	153.09.10.BMB.8254
Ticari mal	BAMBUM ADEN 6 KİŞİLİK FİNCAN TAKIMI	153.09.10.BMB.ADEN
Ticari mal	BAMBUM KIDS FISH	153.09.10.BMB.KİDS
Ticari mal	BAMBUM KOZA OVAL KÜÇÜK SEPET H4368	153.09.10.BMB.KOZA
Ticari mal	BAMBUM LARA 6 KİŞİLİK KAHVE FİNCAN TAKIMI 	153.09.10.BMB.LARA
Ticari mal	BAMBUM LORENZO - EKMEK SAKLAMA KABI	153.09.10.BMB.LORNZ
İlk madde ve malzeme	DÖKÜM TAVA VEGA DALGA DESEN 20 CM . OMS	151.02.TV.VEGA.20
İlk madde ve malzeme	DÖKÜM TAVA VEGA DALGA DESEN 24 CM . OMS	151.02.TV.VEGA.24
İlk madde ve malzeme	DÖKÜM TAVA VEGA DALGA DESEN 28 CM . OMS	151.02.TV.VEGA.28
Depolanan Yarı mamül	DÖKÜM TENCERE 24 CM . BERNARDO  WAVY MODEL.	151.02.WAVY.BRN.24
Depolanan Yarı mamül	DÖKÜM KARNIYARIK 26 CM . BERNARDO  WAVY MODEL.	151.02.WAVY.BRN.KY.26
Depolanan Yarı mamül	DÖKÜM TAVA 26 CM . BERNARDO  WAVY MODEL.	151.02.WAVY.BRN.TV.26
Depolanan Yarı mamül	DÖKÜM KARNIYARIK  26 CM. COCINERO WAVY MODEL.	151.02.WAVY.COCINER.KY.26
Depolanan Yarı mamül	DÖKÜM TAVA  26 CM. COCINERO -  WAVY MODEL.	151.02.WAVY.COCINER.TV.26
İlk madde ve malzeme	İÇ KUTU 20X10CM YUMMY TENCERE (YEŞİL)	150.14.C.TN.13.20
İlk madde ve malzeme	İÇ KUTU 22X12CM YUMMY TENCERE (YEŞİL)	150.14.C.TN.13.22
İlk madde ve malzeme	İÇ KUTU 24X14CM YUMMY TENCERE (YEŞİL)	150.14.C.TN.13.24
İlk madde ve malzeme	İÇ KUTU 16CM SİLİNDİR TENCERE - KATLANIR KULPLU - MOR YAZILI	150.14.C.TN.14.16
